,owneraddress,tickLower,tickUpper,chainId,vammAddress,unrealizedPnl,realizedPnl,feesPaid,feesGained,depositedMargin,availableMargin,fixedTokenBalance,variableTokenBalance
319,0x49985e4d8bb26bd66df55102dee9c920817539d4,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0005411169389636591,-0.00343206979427789822437134473264332826,0.50865000000000000000000000000000000000,0E-38,0.65864000000000000000000000000000000000,0.14999000000000000000000000000000000000,0E-38,0E-38
320,0x606ecfbab3366875c011ab0857311b56881f213b,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.000540728130108035,-0.00370521699950751091000911309805783866,0.45702300000000000000000000000000000000,0E-38,0.63283000000000000000000000000000000000,0.17580700000000000000000000000000000000,0E-38,0E-38
321,0xf87912fb55e790e5f3c5b71288642ea3aeafa8b3,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.000538536320958862,-0.00303234540043531997881968744786605784,0.68098600000000000000000000000000000000,0E-38,0.84480700000000000000000000000000000000,0.16382100000000000000000000000000000000,0E-38,0E-38
322,0x0f1468a9dd8d9165e8a2b7b942fee0e7b65642f6,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0005188117129302158,-0.07491504687736698205486175632474885845,10.60634000000000100000000000000000000000,0E-38,12.96236300000000000000000000000000000000,2.35602299999999900000000000000000000000,0E-38,0E-38
323,0x52957ceefe861ce2a177d138b91ff0a4a69fb207,-34980,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00041015853807778354,-0.00240894445153297531579539464709487570,0E-38,0.01147800000000000000000000000000000000,0.01234400000000000000000000000000000000,0.02382200000000000000000000000000000000,0E-38,0E-38
324,0xe1551b01a46bfa5391827d65f8d8a88c9d3ccd4a,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00037293353083405145,-0.00123059973138905844131402558110603754,0.00343300000000000000000000000000000000,0E-38,0.10343400000000000000000000000000000000,0.10000100000000000000000000000000000000,0E-38,0E-38
325,0x9db7a71bf512b5fc68d4e4e3292376f41e463194,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0003651990522956275,-0.00796855747057106634332073821645053272,0.52541799999999990000000000000000000000,0E-38,0.66702100000000000000000000000000000000,0.14160300000000010000000000000000000000,0E-38,0E-38
326,0x69172956a8af5d61d47bef87a392e0585f120b8d,-16080,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0003428837957868688,-0.02171221470369978678718581296750887874,0E-38,1.30486900000000000000000000000000000000,1010.00000000000000000000000000000000000000,1011.30486900000000000000000000000000000000,0E-38,0E-38
327,0x3299ed9b27f53538f9eac183984ff6b9441bc440,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0003258567801162163,-0.00265292779038469409459339865272450533,2.41901599999999960000000000000000000000,0E-38,2.44129800000000000000000000000000000000,0.02228200000000040000000000000000000000,0E-38,0E-38
328,0x6fefbef5e65f052070d6265596deb711fc65e4a3,-57960,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0003139862551046194,-0.00184410508833132213266376427112531710,0E-38,0.00878600000000000000000000000000000000,0.00945100000000000000000000000000000000,0.01823700000000000000000000000000000000,0E-38,0E-38
329,0xb731fbd78bcad507bb2283ff3b7328e5d52c6af6,-69060,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00031210487392140666,-0.00175378830559872672426857969098731608,0E-38,0.00497100000000000000000000000000000000,0.06822800000000000000000000000000000000,0.07319900000000000000000000000000000000,0E-38,0E-38
330,0x808b2c986daf543582834ebed258af77d066269b,-58080,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0003114850990103498,-0.00182941529027385831475580195653576865,0E-38,0.01000900000000000000000000000000000000,0.02712300000000000000000000000000000000,0.03713200000000000000000000000000000000,0E-38,0E-38
331,0x9a91f399d32dee1889e58e610bd11b7e33744327,-58080,-10980,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00031090934097146314,-0.00182603374630221733857868324414003044,0E-38,0.00999100000000000000000000000000000000,0.02707300000000000000000000000000000000,0.03706400000000000000000000000000000000,0E-38,0E-38
332,0x22b79efba06781390f9aff1c50d0bda50c2317a1,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0002940550866521739,-0.04501035835835091085819823720891730086,2.04296100000000000000000000000000000000,0E-38,2.13725200000000000000000000000000000000,0.09429100000000000000000000000000000000,0E-38,0E-38
333,0xd00b908e70527397192ebd8725682f7311976468,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00022073659870599444,0.00464018950820070342463418503188472856,0.16682800000000000000000000000000000000,0E-38,0.19427800000000000000000000000000000000,0.02745000000000000000000000000000000000,0E-38,0E-38
334,0x2d1d7da5bd9c9a0e91a70348c607ca0d729d4479,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00021982452084257016,-0.00060692402964535238316758401984089295,0.00171800000000000000000000000000000000,0E-38,0.03171800000000000000000000000000000000,0.03000000000000000000000000000000000000,0E-38,0E-38
335,0xe75736afb0f345d40fa88eae45f1e078b0da7004,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00020580484976570314,-0.00065191677808370622381737456178792491,0.00169700000000000000000000000000000000,0E-38,0.02679700000000000000000000000000000000,0.02510000000000000000000000000000000000,0E-38,0E-38
336,0xc918e95eaeb923a05d2d87a222066ea89192b08c,-69060,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.0002037707172861563,53.26174928916471251972413866469344698123,69.34619699999999000000000000000000000000,0E-38,69.35503700000000000000000000000000000000,0.00884000000001000000000000000000000000,0E-38,0E-38
337,0x8f9972f087eeece455aceb2acd177f99c78a60df,-24000,0,42161,0x3ecf01157e9b1a66197325771b63789d1fb18f1f,0.00012643103198340118,-0.00799674447797368114529300301108472856,0E-38,0.60679300000000000000000000000000000000,1001.01000000000000000000000000000000000000,1001.61679300000000000000000000000000000000,0E-38,0E-38
